Item Type,Item ID,Group,Res #,Title,URL,Difficulty,Reading Time,Why Read,Important Sections,Source File
Module,05-02,05-Multi-Agent,2,"MetaGPT Paper",https://arxiv.org/abs/2308.08155,"Advanced","45 min","Role-based decomposition theory","Method",Modules/05-Multi-Agent/05-02-Planner-Executor-Critic.md
Module,05-03,05-Multi-Agent,1,"LangGraph Multi-Agent",https://langchain-ai.github.io/langgraph/concepts/multi_agent/,"Intermediate","45 min","Production graph patterns","Handoffs; supervisor",Modules/05-Multi-Agent/05-03-Frameworks-CrewAI-AutoGen-LangGraph.md
Module,05-03,05-Multi-Agent,2,"CrewAI Docs",https://docs.crewai.com/,"Intro–Intermediate","45 min","Crews, flows, enterprise","Agents; tasks; processes",Modules/05-Multi-Agent/05-03-Frameworks-CrewAI-AutoGen-LangGraph.md
Module,05-03,05-Multi-Agent,3,"AutoGen Stable Docs",https://microsoft.github.io/autogen/stable//index.html,"Intermediate","45 min","AgentChat vs Core","Extensions; MCP",Modules/05-Multi-Agent/05-03-Frameworks-CrewAI-AutoGen-LangGraph.md
Module,05-03,05-Multi-Agent,4,"MetaGPT Paper",https://arxiv.org/abs/2308.08155,"Advanced","45 min","Role-based multi-agent research","Methodology",Modules/05-Multi-Agent/05-03-Frameworks-CrewAI-AutoGen-LangGraph.md
Module,06-01,06-Conversational-Multimodal,1,"OpenAI Speech-to-Text",https://platform.openai.com/docs/guides/speech-to-text,"Intro","25 min","Whisper API production options","Supported formats; streaming",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-01,06-Conversational-Multimodal,2,"OpenAI Text-to-Speech",https://platform.openai.com/docs/guides/text-to-speech,"Intro","20 min","Neural TTS integration","Voices; streaming",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-01,06-Conversational-Multimodal,3,"OpenAI Realtime API",https://platform.openai.com/docs/guides/realtime,"Intermediate","45 min","Native S2S path","Session lifecycle; VAD",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-01,06-Conversational-Multimodal,4,"Faster-Whisper",https://github.com/SYSTRAN/faster-whisper,"Intermediate","30 min","Self-host ASR economics","GPU/CPU benchmarks",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-01,06-Conversational-Multimodal,5,"WebRTC VAD",https://github.com/wiseman/py-webrtcvad,"Intro","15 min","Lightweight endpointing","Aggressiveness modes",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-01,06-Conversational-Multimodal,6,"Deepgram Streaming",https://developers.deepgram.com/docs/streaming,"Intermediate","30 min","Cloud streaming STT pattern","Interim results",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-01,06-Conversational-Multimodal,7,"ElevenLabs API",https://elevenlabs.io/docs/api-reference/text-to-speech,"Intro","25 min","Premium TTS","Streaming; voice settings",Modules/06-Conversational-Multimodal/06-01-Voice-ASR-TTS-Pipelines.md
Module,06-02,06-Conversational-Multimodal,1,"OpenAI Vision Guide",https://platform.openai.com/docs/guides/images-vision,"Intro","30 min","Image input API","Detail vs low-res",Modules/06-Conversational-Multimodal/06-02-Multimodal-Agents.md
Module,06-02,06-Conversational-Multimodal,2,"Claude Vision",https://platform.claude.com/docs/en/build-with-claude/vision,"Intro","25 min","PDF/image patterns","Best practices",Modules/06-Conversational-Multimodal/06-02-Multimodal-Agents.md
Module,06-02,06-Conversational-Multimodal,3,"Gemini Multimodal",https://ai.google.dev/gemini-api/docs/vision,"Intro","25 min","Google stack","Image understanding",Modules/06-Conversational-Multimodal/06-02-Multimodal-Agents.md
Module,06-02,06-Conversational-Multimodal,4,"PyMuPDF",https://pymupdf.readthedocs.io/,"Intro","20 min","PDF text extraction","Text extraction",Modules/06-Conversational-Multimodal/06-02-Multimodal-Agents.md
Module,06-02,06-Conversational-Multimodal,5,"LayoutParser",https://layout-parser.github.io/,"Intermediate","40 min","Document layout","Detection models",Modules/06-Conversational-Multimodal/06-02-Multimodal-Agents.md
Module,06-02,06-Conversational-Multimodal,6,"DeepEval Multimodal",https://deepeval.com/docs/multimodal-metrics,"Intermediate","30 min","Eval patterns","Image QA metrics",Modules/06-Conversational-Multimodal/06-02-Multimodal-Agents.md
Module,07-01,07-Protocols-MCP-A2A,1,"MCP Introduction",https://modelcontextprotocol.io/docs/getting-started/intro,"Intro","20 min","Canonical spec mindset","Concepts; architecture",Modules/07-Protocols-MCP-A2A/07-01-MCP-Model-Context-Protocol.md
Module,07-01,07-Protocols-MCP-A2A,2,"MCP Python SDK",https://github.com/modelcontextprotocol/python-sdk,"Intermediate","45 min","FastMCP implementation","Server examples",Modules/07-Protocols-MCP-A2A/07-01-MCP-Model-Context-Protocol.md
Module,07-01,07-Protocols-MCP-A2A,3,"MCP Specification",https://modelcontextprotocol.io/specification,"Advanced","90 min","Wire protocol details","Tools; resources; prompts",Modules/07-Protocols-MCP-A2A/07-01-MCP-Model-Context-Protocol.md
Module,07-01,07-Protocols-MCP-A2A,4,"Anthropic MCP Announcement",https://www.anthropic.com/news/model-context-protocol,"Intro","15 min","Why USB-C metaphor","Problem framing",Modules/07-Protocols-MCP-A2A/07-01-MCP-Model-Context-Protocol.md
Module,07-01,07-Protocols-MCP-A2A,5,"Cursor MCP Docs",https://docs.cursor.com/context/mcp,"Intro","20 min","IDE integration","Config JSON",Modules/07-Protocols-MCP-A2A/07-01-MCP-Model-Context-Protocol.md
Module,07-02,07-Protocols-MCP-A2A,1,"A2A Protocol Docs",https://a2a-protocol.org/latest/,"Intro","40 min","Canonical concepts","Agent card; tasks",Modules/07-Protocols-MCP-A2A/07-02-A2A-Agent-to-Agent.md
Module,07-02,07-Protocols-MCP-A2A,2,"A2A GitHub",https://github.com/a2aproject/A2A,"Intermediate","45 min","Reference samples","Spec sources",Modules/07-Protocols-MCP-A2A/07-02-A2A-Agent-to-Agent.md
Module,07-02,07-Protocols-MCP-A2A,3,"Google A2A Announcement",https://developers.googleblog.com/en/a2a-a-new-era-of-agent-interoperability/,"Intro","15 min","Ecosystem context","MCP complement",Modules/07-Protocols-MCP-A2A/07-02-A2A-Agent-to-Agent.md
Module,07-02,07-Protocols-MCP-A2A,4,"MCP Intro (contrast)",https://modelcontextprotocol.io/docs/getting-started/intro,"Intro","15 min","Tool vs agent boundary","Architecture",Modules/07-Protocols-MCP-A2A/07-02-A2A-Agent-to-Agent.md
Module,07-02,07-Protocols-MCP-A2A,5,"LangGraph Multi-Agent",https://langchain-ai.github.io/langgraph/concepts/multi_agent/,"Intermediate","30 min","In-process alternative","Supervisor patterns",Modules/07-Protocols-MCP-A2A/07-02-A2A-Agent-to-Agent.md
Module,07-03,07-Protocols-MCP-A2A,1,"A2A Protocol",https://a2a-protocol.org/latest/,"Intermediate","40 min","Task async model","Task lifecycle",Modules/07-Protocols-MCP-A2A/07-03-Negotiation-Async-Workflows.md
Module,07-03,07-Protocols-MCP-A2A,2,"LangGraph Persistence",https://langchain-ai.github.io/langgraph/concepts/persistence/,"Intermediate","35 min","Checkpoint replay","Threads; replay",Modules/07-Protocols-MCP-A2A/07-03-Negotiation-Async-Workflows.md
Module,07-03,07-Protocols-MCP-A2A,3,"Temporal Workflows",https://docs.temporal.io/workflows,"Intermediate","45 min","Async saga patterns","Signals; timers",Modules/07-Protocols-MCP-A2A/07-03-Negotiation-Async-Workflows.md
Module,07-03,07-Protocols-MCP-A2A,4,"OpenTelemetry",https://opentelemetry.io/docs/,"Intermediate","30 min","Trace propagation","Context",Modules/07-Protocols-MCP-A2A/07-03-Negotiation-Async-Workflows.md
Module,07-03,07-Protocols-MCP-A2A,5,"Enterprise Integration Patterns",https://www.enterpriseintegrationpatterns.com/,"Advanced","60 min","Message routing","Saga; DLQ",Modules/07-Protocols-MCP-A2A/07-03-Negotiation-Async-Workflows.md
Module,08-01,08-Evaluation-LLMOps,1,"DeepEval Getting Started",https://deepeval.com/docs/getting-started,"Intro","30 min","GEval + CI","Metrics; test cases",Modules/08-Evaluation-LLMOps/08-01-Evaluation-Lifecycle.md
Module,08-01,08-Evaluation-LLMOps,2,"DeepEval GEval",https://deepeval.com/docs/metrics-llm-evals,"Intermediate","35 min","Custom criteria","GEval setup",Modules/08-Evaluation-LLMOps/08-01-Evaluation-Lifecycle.md
Module,08-01,08-Evaluation-LLMOps,3,"LangSmith Evaluation",https://docs.smith.langchain.com/evaluation,"Intermediate","40 min","Datasets + experiments","Feedback",Modules/08-Evaluation-LLMOps/08-01-Evaluation-Lifecycle.md
Module,08-01,08-Evaluation-LLMOps,4,"OpenAI Evals Guide",https://platform.openai.com/docs/guides/evals,"Intermediate","35 min","Benchmark mindset","Best practices",Modules/08-Evaluation-LLMOps/08-01-Evaluation-Lifecycle.md
Module,08-01,08-Evaluation-LLMOps,5,"HELM (Stanford)",https://crfm.stanford.edu/helm/,"Advanced","60 min","Holistic eval framing","Metrics taxonomy",Modules/08-Evaluation-LLMOps/08-01-Evaluation-Lifecycle.md
Module,08-02,08-Evaluation-LLMOps,1,"LangSmith Docs",https://docs.smith.langchain.com/,"Intro","40 min","Trace + eval","Tracing; datasets",Modules/08-Evaluation-LLMOps/08-02-Observability-LangSmith-OTel.md
Module,08-02,08-Evaluation-LLMOps,2,"LangSmith Tracing",https://docs.smith.langchain.com/tracing,"Intermediate","35 min","Setup","Projects; runs",Modules/08-Evaluation-LLMOps/08-02-Observability-LangSmith-OTel.md
Module,08-02,08-Evaluation-LLMOps,3,"OpenTelemetry Docs",https://opentelemetry.io/docs/,"Intermediate","45 min","Platform APM","Concepts; SDK",Modules/08-Evaluation-LLMOps/08-02-Observability-LangSmith-OTel.md
Module,08-02,08-Evaluation-LLMOps,4,"OTel GenAI Semantics",https://opentelemetry.io/docs/specs/semconv/gen-ai/,"Advanced","40 min","Standard attributes","Span names",Modules/08-Evaluation-LLMOps/08-02-Observability-LangSmith-OTel.md
Module,08-02,08-Evaluation-LLMOps,5,"OpenLLMetry",https://github.com/traceloop/openllmetry,"Intermediate","30 min","Auto-instrumentation","Integrations",Modules/08-Evaluation-LLMOps/08-02-Observability-LangSmith-OTel.md
Module,08-03,08-Evaluation-LLMOps,1,"promptfoo Intro",https://www.promptfoo.dev/docs/intro/,"Intro","25 min","CI testing","Config; assertions",Modules/08-Evaluation-LLMOps/08-03-Guardrails-Ship-Criteria.md
Module,08-03,08-Evaluation-LLMOps,2,"promptfoo Red Team",https://www.promptfoo.dev/docs/red-team/,"Intermediate","40 min","Safety gates","Attack catalogs",Modules/08-Evaluation-LLMOps/08-03-Guardrails-Ship-Criteria.md
Module,08-03,08-Evaluation-LLMOps,3,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Intermediate","60 min","Threat model","LLM01; LLM02",Modules/08-Evaluation-LLMOps/08-03-Guardrails-Ship-Criteria.md
Module,08-03,08-Evaluation-LLMOps,4,"Microsoft Presidio",https://microsoft.github.io/presidio/,"Intermediate","35 min","PII detection","Anonymizer",Modules/08-Evaluation-LLMOps/08-03-Guardrails-Ship-Criteria.md
Module,08-03,08-Evaluation-LLMOps,5,"OpenAI Moderation",https://platform.openai.com/docs/guides/moderation,"Intro","20 min","Output safety","Categories",Modules/08-Evaluation-LLMOps/08-03-Guardrails-Ship-Criteria.md
Module,08-03,08-Evaluation-LLMOps,6,"NIST AI RMF",https://www.nist.gov/itl/ai-risk-management-framework,"Advanced","90 min","Governance framing","Map; measure",Modules/08-Evaluation-LLMOps/08-03-Guardrails-Ship-Criteria.md
Module,09-01,09-Fine-Tuning,1,"Hugging Face PEFT",https://huggingface.co/docs/peft/index,"Intermediate","45 min","Official API for LoRA/adapters","Quickstart; LoRA config",Modules/09-Fine-Tuning/09-01-PEFT-LoRA-QLoRA.md
Module,09-01,09-Fine-Tuning,2,"LoRA paper",https://arxiv.org/abs/2106.09685,"Advanced","45 min","Primary low-rank intuition","§3 Method; §4 Experiments",Modules/09-Fine-Tuning/09-01-PEFT-LoRA-QLoRA.md
Module,09-01,09-Fine-Tuning,3,"QLoRA paper",https://arxiv.org/abs/2305.14314,"Advanced","45 min","4-bit + adapter training","NF4; double quant",Modules/09-Fine-Tuning/09-01-PEFT-LoRA-QLoRA.md
Module,09-01,09-Fine-Tuning,4,"TRL SFTTrainer",https://huggingface.co/docs/trl/sft_trainer,"Intermediate","30 min","Production training loop","Completion-only loss",Modules/09-Fine-Tuning/09-01-PEFT-LoRA-QLoRA.md
Module,09-01,09-Fine-Tuning,5,"bitsandbytes",https://github.com/TimDettmers/bitsandbytes,"Intermediate","20 min","4-bit load details","NF4 usage",Modules/09-Fine-Tuning/09-01-PEFT-LoRA-QLoRA.md
Module,09-01,09-Fine-Tuning,6,"vLLM docs",https://docs.vllm.ai/en/latest/,"Intermediate","30 min","Inference after merge","LoRA requests",Modules/09-Fine-Tuning/09-01-PEFT-LoRA-QLoRA.md
Module,09-02,09-Fine-Tuning,1,"RAG paper",https://arxiv.org/abs/2005.11401,"Intermediate","45 min","When retrieval beats parametric memory","Intro; architecture",Modules/09-Fine-Tuning/09-02-Prompting-vs-RAG-vs-FineTuning.md
Module,09-02,09-Fine-Tuning,2,"LoRA paper",https://arxiv.org/abs/2106.09685,"Advanced","30 min","When FT is appropriate","Task results",Modules/09-Fine-Tuning/09-02-Prompting-vs-RAG-vs-FineTuning.md
Module,09-02,09-Fine-Tuning,3,"HF PEFT",https://huggingface.co/docs/peft/index,"Intermediate","20 min","LoRA scope","When to use PEFT",Modules/09-Fine-Tuning/09-02-Prompting-vs-RAG-vs-FineTuning.md
Module,09-02,09-Fine-Tuning,4,"LangChain RAG concept",https://python.langchain.com/docs/concepts/rag/,"Intro","20 min","RAG pipeline mental model","Indexing",Modules/09-Fine-Tuning/09-02-Prompting-vs-RAG-vs-FineTuning.md
Module,09-02,09-Fine-Tuning,5,"DSPy",https://dspy.ai/,"Intermediate","30 min","Prompt optimization alternative","Programs vs prompts",Modules/09-Fine-Tuning/09-02-Prompting-vs-RAG-vs-FineTuning.md
Module,09-03,09-Fine-Tuning,1,"vLLM Documentation",https://docs.vllm.ai/en/latest/,"Intermediate","45 min","LoRA + OpenAI server","LoRA serving",Modules/09-Fine-Tuning/09-03-Serving-Integrating-FineTuned-Models.md
Module,09-03,09-Fine-Tuning,2,"HF PEFT",https://huggingface.co/docs/peft/index,"Intermediate","20 min","Load adapters","Inference",Modules/09-Fine-Tuning/09-03-Serving-Integrating-FineTuned-Models.md
Module,09-03,09-Fine-Tuning,3,"vLLM GitHub",https://github.com/vllm-project/vllm,"Intermediate","20 min","Flags & examples","LoRA examples",Modules/09-Fine-Tuning/09-03-Serving-Integrating-FineTuned-Models.md
Module,09-03,09-Fine-Tuning,4,"FastAPI",https://fastapi.tiangolo.com/,"Intro","30 min","Gateway patterns","Dependencies",Modules/09-Fine-Tuning/09-03-Serving-Integrating-FineTuned-Models.md
Module,10-01,10-Production-Infrastructure,1,"FastAPI Documentation",https://fastapi.tiangolo.com/,"Intro","60 min","Official patterns","Async; Dependencies; Streaming",Modules/10-Production-Infrastructure/10-01-FastAPI-AI-Backends.md
Module,10-01,10-Production-Infrastructure,2,"Uvicorn",https://www.uvicorn.org/,"Intro","15 min","ASGI server tuning","Workers",Modules/10-Production-Infrastructure/10-01-FastAPI-AI-Backends.md
Module,10-01,10-Production-Infrastructure,3,"OpenAI Python SDK",https://github.com/openai/openai-python,"Intro","20 min","Async client","Streaming",Modules/10-Production-Infrastructure/10-01-FastAPI-AI-Backends.md
Module,10-02,10-Production-Infrastructure,1,"Kubernetes Documentation",https://kubernetes.io/docs/home/,"Intermediate","90 min","Official deploy concepts","Workloads; Services; Probes",Modules/10-Production-Infrastructure/10-02-Docker-Kubernetes-CICD.md
Module,10-02,10-Production-Infrastructure,2,"Docker Docs",https://docs.docker.com/,"Intro","45 min","Image best practices","Multi-stage builds",Modules/10-Production-Infrastructure/10-02-Docker-Kubernetes-CICD.md
Module,10-02,10-Production-Infrastructure,3,"vLLM docs",https://docs.vllm.ai/en/latest/,"Intermediate","30 min","Container deploy","Docker",Modules/10-Production-Infrastructure/10-02-Docker-Kubernetes-CICD.md
Module,10-03,10-Production-Infrastructure,1,"Redis Documentation",https://redis.io/docs/latest/,"Intro","45 min","Commands & patterns","Data types; TTL",Modules/10-Production-Infrastructure/10-03-Redis-Kafka-Ray.md
Module,10-03,10-Production-Infrastructure,2,"Kafka Documentation",https://kafka.apache.org/documentation/,"Intermediate","60 min","Topics & consumer groups","Introduction",Modules/10-Production-Infrastructure/10-03-Redis-Kafka-Ray.md
Module,10-03,10-Production-Infrastructure,3,"Ray Documentation",https://docs.ray.io/en/latest/,"Intermediate","60 min","Ray Serve & Train","Getting started",Modules/10-Production-Infrastructure/10-03-Redis-Kafka-Ray.md
Module,10-04,10-Production-Infrastructure,1,"vLLM Documentation",https://docs.vllm.ai/en/latest/,"Intermediate","30 min","Throughput knobs","Optimization",Modules/10-Production-Infrastructure/10-04-Cost-Latency-Optimization.md
Module,10-04,10-Production-Infrastructure,2,"OpenAI Pricing",https://openai.com/api/pricing/,"Intro","15 min","API unit costs","Model tiers",Modules/10-Production-Infrastructure/10-04-Cost-Latency-Optimization.md
Module,11-01,11-Security-Safety,1,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Intermediate","90 min","Canonical list","Each risk entry",Modules/11-Security-Safety/11-01-OWASP-LLM-Top-10.md
Module,11-01,11-Security-Safety,2,"NIST AI RMF",https://www.nist.gov/itl/ai-risk-management-framework,"Advanced","60 min","Enterprise mapping","Govern / Map",Modules/11-Security-Safety/11-01-OWASP-LLM-Top-10.md
Module,11-02,11-Security-Safety,1,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Intermediate","60 min","LLM01 context","Prompt injection",Modules/11-Security-Safety/11-02-Prompt-Injection-Defense.md
Module,11-02,11-Security-Safety,2,"Promptfoo",https://www.promptfoo.dev/docs/intro/,"Intermediate","45 min","Red team CI","Assertions",Modules/11-Security-Safety/11-02-Prompt-Injection-Defense.md
Module,12-01,12-Advanced-Topics,1,"DeepEval",https://deepeval.com/docs/getting-started,"Intermediate","40 min","Faithfulness metrics","Metrics",Modules/12-Advanced-Topics/12-01-Research-Agents.md
Module,12-02,12-Advanced-Topics,1,"Spider paper",https://arxiv.org/abs/1809.00635,"Advanced","60 min","Eval benchmark","Task definition",Modules/12-Advanced-Topics/12-02-Text-to-SQL-Agents.md
Module,12-02,12-Advanced-Topics,2,"BIRD benchmark",https://bird-bench.github.io/,"Advanced","45 min","Dirty data eval","Leaderboard",Modules/12-Advanced-Topics/12-02-Text-to-SQL-Agents.md
Module,12-04,12-Advanced-Topics,1,"DSPy Documentation",https://dspy.ai/,"Intermediate","60 min","Official tutorials","Signatures; Modules; Optimizers",Modules/12-Advanced-Topics/12-04-DSPy-Programmatic-Prompting.md
Module,12-04,12-Advanced-Topics,2,"DSPy GitHub",https://github.com/stanfordnlp/dspy,"Intermediate","30 min","Examples & API","README; tutorials",Modules/12-Advanced-Topics/12-04-DSPy-Programmatic-Prompting.md
System Design,AI-Coding-Assistant,System Design,1,"GitHub Copilot Docs",https://docs.github.com/en/copilot,"Product + privacy modes","","","",System Design/Design-AI-Coding-Assistant.md
System Design,AI-Coding-Assistant,System Design,2,"Cursor Docs",https://cursor.com/docs,"Agent + codebase context","","","",System Design/Design-AI-Coding-Assistant.md
System Design,AI-Coding-Assistant,System Design,3,"Code Llama paper",https://arxiv.org/abs/2308.12950,"FIM training","","","",System Design/Design-AI-Coding-Assistant.md
System Design,AI-Coding-Assistant,System Design,4,"SWE-bench",https://www.swebench.com/,"Agent eval benchmark","","","",System Design/Design-AI-Coding-Assistant.md
System Design,AI-Coding-Assistant,System Design,5,"Tree-sitter",https://tree-sitter.github.io/tree-sitter/,"Parsing for chunking","","","",System Design/Design-AI-Coding-Assistant.md
System Design,AI-Customer-Support,System Design,1,"Zendesk AI",https://www.zendesk.com/service/ai/,"Industry patterns","","","",System Design/Design-AI-Customer-Support.md
System Design,AI-Customer-Support,System Design,2,"Intercom Fin",https://www.intercom.com/fin,"RAG support agent","","","",System Design/Design-AI-Customer-Support.md
System Design,AI-Customer-Support,System Design,3,"Salesforce Einstein Service",https://www.salesforce.com/service/ai/,"CRM-integrated support","","","",System Design/Design-AI-Customer-Support.md
System Design,AI-Customer-Support,System Design,4,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Excessive agency","","","",System Design/Design-AI-Customer-Support.md
System Design,AI-Customer-Support,System Design,5,"ITIL escalation",https://www.axelos.com/certifications/itil-service-management,"SLA/queue concepts","","","",System Design/Design-AI-Customer-Support.md
System Design,AI-Research-Agent,System Design,1,"OpenAI Deep Research",https://openai.com/index/introducing-deep-research/,"Product reference","","","",System Design/Design-AI-Research-Agent.md
System Design,AI-Research-Agent,System Design,2,"Gemini Deep Research",https://blog.google/products/gemini/google-gemini-deep-research/,"Alternative architecture cues","","","",System Design/Design-AI-Research-Agent.md
System Design,AI-Research-Agent,System Design,3,"ReAct",https://arxiv.org/abs/2210.03629,"Tool loop foundation","","","",System Design/Design-AI-Research-Agent.md
System Design,AI-Research-Agent,System Design,4,"LangGraph persistence",https://langchain-ai.github.io/langgraph/concepts/persistence/,"Checkpoint patterns","","","",System Design/Design-AI-Research-Agent.md
System Design,AI-Research-Agent,System Design,5,"WebArena / BrowseComp evals",https://arxiv.org/abs/2404.05990,"Agent browsing benchmarks","","","",System Design/Design-AI-Research-Agent.md
System Design,AI-Search-Engine,System Design,1,"Perplexity API",https://docs.perplexity.ai/,"Answer + search API patterns","","","",System Design/Design-AI-Search-Engine.md
System Design,AI-Search-Engine,System Design,2,"Bing Web Search API",https://learn.microsoft.com/en-us/bing/search-apis/bing-web-search/overview,"Hybrid retrieval reference","","","",System Design/Design-AI-Search-Engine.md
System Design,AI-Search-Engine,System Design,3,"Google Research: RAG",https://research.google/blog/dear-google-search-its-time-for-rag/,"Industry RAG direction","","","",System Design/Design-AI-Search-Engine.md
System Design,AI-Search-Engine,System Design,4,"Freshness in search",https://arxiv.org/abs/1206.2081,"Crawl scheduling concepts","","","",System Design/Design-AI-Search-Engine.md
System Design,AI-Search-Engine,System Design,5,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Untrusted web content","","","",System Design/Design-AI-Search-Engine.md
System Design,AI-Voice-Assistant,System Design,1,"OpenAI Realtime API",https://platform.openai.com/docs/guides/realtime,"S2S / voice API patterns","","","",System Design/Design-AI-Voice-Assistant.md
System Design,AI-Voice-Assistant,System Design,2,"WebRTC fundamentals",https://webrtc.org/getting-started/overview,"Transport layer","","","",System Design/Design-AI-Voice-Assistant.md
System Design,AI-Voice-Assistant,System Design,3,"Whisper paper",https://arxiv.org/abs/2212.04356,"ASR baseline","","","",System Design/Design-AI-Voice-Assistant.md
System Design,AI-Voice-Assistant,System Design,4,"Moshi (S2S)",https://arxiv.org/abs/2406.11776,"Full-duplex speech models","","","",System Design/Design-AI-Voice-Assistant.md
System Design,AI-Voice-Assistant,System Design,5,"Google duplex architecture talks",https://ai.googleblog.com/2018/05/duplex-ai-system-for-natural-conversation.html,"Latency + barge-in history","","","",System Design/Design-AI-Voice-Assistant.md
System Design,ChatGPT,System Design,1,"OpenAI API Docs",https://developers.openai.com/api/docs/,"Real API shapes for chat/tools","","","",System Design/Design-ChatGPT.md
System Design,ChatGPT,System Design,2,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Safety requirements","","","",System Design/Design-ChatGPT.md
System Design,ChatGPT,System Design,3,"LangGraph HITL / persistence",https://langchain-ai.github.io/langgraph/concepts/high_level/,"Stateful orchestration patterns","","","",System Design/Design-ChatGPT.md
System Design,ChatGPT,System Design,4,"ReAct paper",https://arxiv.org/abs/2210.03629,"Tool-loop reasoning","","","",System Design/Design-ChatGPT.md
System Design,Claude,System Design,1,"Constitutional AI paper",https://arxiv.org/abs/2212.08073,"Core alignment approach","","","",System Design/Design-Claude.md
System Design,Claude,System Design,2,"Anthropic Messages API",https://docs.anthropic.com/en/api/messages,"Real API shapes, streaming, tools","","","",System Design/Design-Claude.md
System Design,Claude,System Design,3,"Prompt caching docs",https://docs.anthropic.com/en/docs/build-with-claude/prompt-caching,"Cost/latency architecture","","","",System Design/Design-Claude.md
System Design,Claude,System Design,4,"Model Context Protocol",https://modelcontextprotocol.io/,"Tool server standard","","","",System Design/Design-Claude.md
System Design,Claude,System Design,5,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Security requirements","","","",System Design/Design-Claude.md
System Design,Claude,System Design,6,"ReAct paper",https://arxiv.org/abs/2210.03629,"Tool-loop reasoning","","","",System Design/Design-Claude.md
System Design,Cursor,System Design,1,"Cursor Docs",https://docs.cursor.com/,"Product capabilities, rules, privacy","","","",System Design/Design-Cursor.md
System Design,Cursor,System Design,2,"Model Context Protocol",https://modelcontextprotocol.io/,"Tool server integration pattern","","","",System Design/Design-Cursor.md
System Design,Cursor,System Design,3,"ReAct paper",https://arxiv.org/abs/2210.03629,"Agent tool loop","","","",System Design/Design-Cursor.md
System Design,Cursor,System Design,4,"RAG survey",https://arxiv.org/abs/2312.10997,"Retrieval architecture baseline","","","",System Design/Design-Cursor.md
System Design,Cursor,System Design,5,"VS Code Extension API",https://code.visualstudio.com/api,"IDE integration constraints","","","",System Design/Design-Cursor.md
System Design,Cursor,System Design,6,"Tree-sitter",https://tree-sitter.github.io/tree-sitter/,"AST-aware parsing for chunking","","","",System Design/Design-Cursor.md
System Design,GitHub-Copilot,System Design,1,"GitHub Copilot Docs",https://docs.github.com/en/copilot,"Product surfaces, policies","","","",System Design/Design-GitHub-Copilot.md
System Design,GitHub-Copilot,System Design,2,"InCoder (FIM) paper",https://arxiv.org/abs/2204.05999,"Fill-in-the-middle foundation","","","",System Design/Design-GitHub-Copilot.md
System Design,GitHub-Copilot,System Design,3,"Code Llama paper",https://arxiv.org/abs/2308.12950,"FIM-capable code models","","","",System Design/Design-GitHub-Copilot.md
System Design,GitHub-Copilot,System Design,4,"vLLM PagedAttention",https://arxiv.org/abs/2309.06180,"Serving efficiency","","","",System Design/Design-GitHub-Copilot.md
System Design,GitHub-Copilot,System Design,5,"OpenAI FIM API patterns",https://platform.openai.com/docs/guides/code-generation,"Industry FIM prompt shape","","","",System Design/Design-GitHub-Copilot.md
System Design,GitHub-Copilot,System Design,6,"OWASP LLM Top 10",https://owasp.org/www-project-top-10-for-large-language-model-applications/,"Secret leakage risks","","","",System Design/Design-GitHub-Copilot.md
System Design,Multi-Agent-Workflow-Engine,System Design,1,"Temporal docs",https://docs.temporal.io/,"Durable execution","","","",System Design/Design-Multi-Agent-Workflow-Engine.md
System Design,Multi-Agent-Workflow-Engine,System Design,2,"LangGraph",https://langchain-ai.github.io/langgraph/,"Agent graph patterns","","","",System Design/Design-Multi-Agent-Workflow-Engine.md
System Design,Multi-Agent-Workflow-Engine,System Design,3,"Model Context Protocol",https://modelcontextprotocol.io/,"MCP spec","","","",System Design/Design-Multi-Agent-Workflow-Engine.md
System Design,Multi-Agent-Workflow-Engine,System Design,4,"LangGraph persistence",https://langchain-ai.github.io/langgraph/concepts/persistence/,"Checkpoint semantics","","","",System Design/Design-Multi-Agent-Workflow-Engine.md
System Design,Multi-Agent-Workflow-Engine,System Design,5,"OpenAI evals guide",https://platform.openai.com/docs/guides/evals,"Eval harness design","","","",System Design/Design-Multi-Agent-Workflow-Engine.md
System Design,Notion-AI,System Design,1,"Notion API",https://developers.notion.com/,"Blocks, permissions model","","","",System Design/Design-Notion-AI.md
